channel x_pos y_pos z_pos
933 24 -100 270
934 -24 -100 250
935 8 -100 250
936 -8 -100 230
937 24 -100 230
938 -24 -100 210
939 8 -100 210
940 -8 -100 190
941 24 -100 190
942 -24 -100 170
943 8 -100 170
944 -8 -100 150
945 24 -100 150
946 -24 -100 130
947 8 -100 130
948 -8 -100 110
949 24 -100 110
950 -24 -100 90
951 8 -100 90
952 -8 -100 70
953 24 -100 70
954 -24 -100 50
955 8 -100 50
956 -8 -100 30
957 24 -100 30
958 -24 -100 10
959 8 -100 10
960 -8 -100 -10
961 24 -100 -10
962 -24 -100 -30
963 8 -100 -30
964 -8 -100 -50
965 24 -100 -50
966 -24 -100 -70
967 8 -100 -70
968 -8 -100 -90
969 24 -100 -90
970 -24 -100 -110
971 8 -100 -110
972 -8 -100 -130
973 24 -100 -130
974 -24 -100 -150
975 8 -100 -150
976 -8 -100 -170
977 24 -100 -170
978 -24 -100 -190
979 8 -100 -190
980 -8 -100 -210
981 24 -100 -210
982 -24 -100 -230
983 8 -100 -230
984 -8 -100 -250
985 24 -100 -250
986 -24 -100 -270
987 8 -100 -270
988 -8 -100 -290
989 24 -100 -290
990 -24 -100 -310
991 8 -100 -310
992 -8 -100 -330
993 24 -100 -330
994 -24 -100 -350
995 8 -100 -350
996 -8 -100 -370
997 24 -100 -370
998 -24 -100 -390
999 8 -100 -390
1000 -8 -100 -410
1001 24 -100 -410
1002 -24 -100 -430
1003 8 -100 -430
1004 -8 -100 -450
1005 24 -100 -450
1006 -24 -100 -470
1007 8 -100 -470
1008 -8 -100 -490
1009 24 -100 -490
1010 -24 -100 -510
1011 8 -100 -510
1012 -8 -100 -530
1013 24 -100 -530
1014 -24 -100 -550
1015 8 -100 -550
1016 -8 -100 -570
1017 24 -100 -570
1018 -24 -100 -590
1019 8 -100 -590
1020 -8 -100 -610
1021 24 -100 -610
1022 -24 -100 -630
1023 8 -100 -630
1024 -8 -100 -650
1025 24 -100 -650
1026 -24 -100 -670
1027 8 -100 -670
1028 -8 -100 -690
1029 24 -100 -690
1030 -24 -100 -710
1031 8 -100 -710
1032 -8 -100 -730
1033 24 -100 -730
1034 -24 -100 -750
1035 8 -100 -750
1036 -8 -100 -770
1037 24 -100 -770
1038 -24 -100 -790
1039 8 -100 -790
1040 -8 -100 -810
1041 24 -100 -810
1042 -24 -100 -830
1043 8 -100 -830
1044 -8 -100 -850
1045 24 -100 -850
1046 -24 -100 -870
1047 8 -100 -870
1048 -8 -100 -890
1049 24 -100 -890
1050 -24 -100 -910
1051 8 -100 -910
1052 -8 -100 -930
1053 24 -100 -930
1054 -24 -100 -950
1055 8 -100 -950
1056 -8 -100 -970
1057 24 -100 -970
1058 -24 -100 -990
1059 8 -100 -990
1060 -8 -100 -1010
1061 24 -100 -1010
1062 -24 -100 -1030
1063 8 -100 -1030
1064 -8 -100 -1050
1065 24 -100 -1050
1066 -24 -100 -1070
1067 8 -100 -1070
1068 -8 -100 -1090
1069 24 -100 -1090
1070 -24 -100 -1110
1071 8 -100 -1110
1072 -8 -100 -1130
1073 24 -100 -1130
1074 -24 -100 -1150
1075 8 -100 -1150
1076 -8 -100 -1170
1077 24 -100 -1170
1078 -24 -100 -1190
1079 8 -100 -1190
1080 -8 -100 -1210
1081 24 -100 -1210
1082 -24 -100 -1230
1083 8 -100 -1230
1084 -8 -100 -1250
1085 24 -100 -1250
1086 -24 -100 -1270
1087 8 -100 -1270
1088 -8 -100 -1290
1089 24 -100 -1290
1090 -24 -100 -1310
1091 8 -100 -1310
1092 -8 -100 -1330
1093 24 -100 -1330
1094 -24 -100 -1350
1095 8 -100 -1350
1096 -8 -100 -1370
1097 24 -100 -1370
1098 -24 -100 -1390
